time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{model}.m.x,{model}.m.y
4.529999999999948,0.01,0.15464667166572976,-0.009999999999999898,1.5199999999999998,2.6922609340223964,-0.550905465848387,0.19368751901571313
4.539999999999948,0.01,0.1538695329888018,-0.009999999999999898,1.5199999999999998,2.6938074007390536,-0.5425455733723155,0.16809574120574383
4.549999999999947,0.01,0.15309629963047322,-0.009999999999999898,1.5199999999999998,2.6953460960689415,-0.5328287983369567,0.14297116928620898
4.559999999999947,0.01,0.15232695196552926,-0.009999999999999898,1.5199999999999998,2.696877059065246,-0.5217807047239115,0.11838603790000733
4.569999999999947,0.01,0.1515614704673769,-0.009999999999999898,1.5199999999999998,2.6984003285849014,-0.509430721179329,0.09441120748100786
4.579999999999947,0.01,0.1507998357075493,-0.009999999999999898,1.5199999999999998,2.699915943289575,-0.4958120682784902,0.07111595632337518
4.589999999999947,0.01,0.1500420283552124,-0.009999999999999898,1.5199999999999998,2.7014239416466506,-0.4809616745359521,0.04856777644617648
4.599999999999946,0.01,0.14928802917667472,-0.009999999999999898,1.5199999999999998,2.7029243619302026,-0.46492008135654267,0.026832173866158222
4.609999999999946,0.01,0.1485378190348987,-0.009999999999999898,1.5199999999999998,2.7044172422219694,-0.44773133715607755,0.00597247388167723
4.619999999999946,0.01,0.14779137888901528,-0.009999999999999898,1.5199999999999998,2.7059026204123184,-0.4294428809137512,-0.013950368040981893
4.629999999999946,0.01,0.14704868979384078,-0.009999999999999898,1.5199999999999998,2.7073805342012087,-0.41010541545064444,-0.032877949201251117
4.6399999999999455,0.01,0.14630973289939564,-0.009999999999999898,1.5199999999999998,2.708851021099147,-0.38977277076058087,-0.05075459585560978
4.649999999999945,0.01,0.1455744894504265,-0.009999999999999898,1.5199999999999998,2.710314118428141,-0.368501757750556,-0.06752753212146205
4.659999999999945,0.01,0.14484294078592952,-0.009999999999999898,1.5199999999999998,2.7117698633226452,-0.34635201277806027,-0.08314704106728012
4.669999999999945,0.01,0.14411506833867738,-0.009999999999999898,1.5199999999999998,2.7132182927305046,-0.32338583340172067,-0.09756661748326009
4.679999999999945,0.01,0.14339085363474768,-0.009999999999999898,1.5199999999999998,2.7146594434138915,-0.2996680057897057,-0.11074311184889028
4.689999999999944,0.01,0.14267027829305423,-0.009999999999999898,1.5199999999999998,2.716093351950239,-0.27526562425717965,-0.12263686503754583
4.699999999999944,0.01,0.14195332402488048,-0.009999999999999898,1.5199999999999998,2.7175200547331695,-0.25024790342967135,-0.13321183332344086
4.709999999999944,0.01,0.14123997263341526,-0.009999999999999898,1.5199999999999998,2.718939587973418,-0.22468598355345065,-0.14243570328291938
4.719999999999944,0.01,0.14053020601329091,-0.009999999999999898,1.5199999999999998,2.720351987699752,-0.19865272949680585,-0.15027999621007937
4.729999999999944,0.01,0.13982400615012391,-0.009999999999999898,1.5199999999999998,2.721757289759885,-0.1722225240074069,-0.1567201616960234
4.739999999999943,0.01,0.1391213551200574,-0.009999999999999898,1.5199999999999998,2.7231555298213865,-0.14547105581065126,-0.16173566005152903
4.749999999999943,0.01,0.13842223508930673,-0.009999999999999898,1.5199999999999998,2.724546743372587,-0.11847510315195257,-0.16531003328455596
4.759999999999943,0.01,0.1377266283137064,-0.009999999999999898,1.5199999999999998,2.7259309657234803,-0.09131231340228237,-0.16743096437665397
4.769999999999943,0.01,0.13703451713825987,-0.009999999999999898,1.5199999999999998,2.7273082320066173,-0.06406097936085409,-0.16809032463592571
4.7799999999999425,0.01,0.13634588399669134,-0.009999999999999898,1.5199999999999998,2.728678577178,-0.036799812901590685,-0.16728420893862284
4.789999999999942,0.01,0.135660711411,-0.009999999999999898,1.5199999999999998,2.730042036017967,-0.009607716620894435,-0.1650129587066227
4.799999999999942,0.01,0.13497898199101654,-0.009999999999999898,1.5199999999999998,2.731398643132077,0.01743644584680297,-0.16128117250383728
4.809999999999942,0.01,0.13430067843396154,-0.009999999999999898,1.5199999999999998,2.732748432951987,0.04425408017222947,-0.15609770417094648
4.819999999999942,0.01,0.13362578352400645,-0.009999999999999898,1.5199999999999998,2.7340914397363267,0.0707670916547051,-0.14947564845460962
4.8299999999999415,0.01,0.13295428013183663,-0.009999999999999898,1.5199999999999998,2.735427697571567,0.09689811484432258,-0.14143231412439436
4.839999999999941,0.01,0.1322861512142166,-0.009999999999999898,1.5199999999999998,2.736757240372885,0.12257074178041401,-0.13198918460794481
4.849999999999941,0.01,0.13162137981355748,-0.009999999999999898,1.5199999999999998,2.738080101885027,0.14770974816492538,-0.12117186621229621
4.859999999999941,0.01,0.13095994905748642,-0.009999999999999898,1.5199999999999998,2.739396315683163,0.17224131679245894,-0.10901002403660243
4.869999999999941,0.01,0.13030184215841856,-0.009999999999999898,1.5199999999999998,2.740705915173738,0.196093257563941,-0.0955373057187736
4.87999999999994,0.01,0.12964704241313108,-0.009999999999999898,1.5199999999999998,2.742008933595322,0.21919522341812292,-0.08079125319550338
4.88999999999994,0.01,0.12899553320233892,-0.009999999999999898,1.5199999999999998,2.7433054040194533,0.24147892152441472,-0.06481320269178728
4.89999999999994,0.01,0.12834729799027333,-0.009999999999999898,1.5199999999999998,2.744595359351477,0.2628783190918691,-0.04764817319218369
4.90999999999994,0.01,0.12770232032426154,-0.009999999999999898,1.5199999999999998,2.7458788323313796,0.28332984316245013,-0.02934474368162989
4.9199999999999395,0.01,0.12706058383431018,-0.009999999999999898,1.5199999999999998,2.747155855534622,0.30277257377201117,-0.009954919478491992
4.929999999999939,0.01,0.12642207223268898,-0.009999999999999898,1.5199999999999998,2.748426461372965,0.3211484298796296,0.01046601198341537
4.939999999999939,0.01,0.1257867693135175,-0.009999999999999898,1.5199999999999998,2.749690682095292,0.33840234748506287,0.03185963553396033
4.949999999999939,0.01,0.125154658952354,-0.009999999999999898,1.5199999999999998,2.750948549788427,0.35448244937504925,0.05416457238497661
4.959999999999939,0.01,0.12452572510578652,-0.009999999999999898,1.5199999999999998,2.7522000963779507,0.3693402059619287,0.07731665353469933
